accuracy_difference,aggregation,between_draw_variance,ci95_high,ci95_low,clusters,comparator,corpus,dlogppl,draw,effect,form,json_pointer,method,model,p_adjusted,p_raw,policy,raw_ppl_comparator,raw_ppl_method,record_type,resolution,source_path,source_sha256,stream_label,windows,within_evaluation_variance_mean
,,,-0.002860894349778319,-0.008361345777844881,231,four_over_six,c4,-0.005379700575890179,seed0,-0.005379700575890179,,/models/llama8b/quality/n16_c4/per_draw/0,n16_k2,llama8b,,0.00019998000199980003,,9.825367612898917,9.772652001334022,paired_dlogppl,n16,runs/P30_analysis_attempt1/analysis_draws/P30_FIVE_DRAW_ANALYSIS.json,82ee1420d7a98f797e0ace23fc489e854bb2a6b6cef0d9554022cfcfc0b1a7e4,P30:llama8b:seed0:n16:c4,256,
,,,-0.0013386822774080697,-0.007102411540160281,231,four_over_six,c4,-0.0037449975740044376,draw1,-0.0037449975740044376,,/models/llama8b/quality/n16_c4/per_draw/1,n16_k2_draw1,llama8b,,0.0005999400059994001,,9.825367612898917,9.788640449518667,paired_dlogppl,n16,runs/P30_analysis_attempt1/analysis_draws/P30_FIVE_DRAW_ANALYSIS.json,82ee1420d7a98f797e0ace23fc489e854bb2a6b6cef0d9554022cfcfc0b1a7e4,P30:llama8b:draw1:n16:c4,256,
,,,-0.0031507906974104255,-0.00853639923247111,231,four_over_six,c4,-0.005575692611375007,draw2,-0.005575692611375007,,/models/llama8b/quality/n16_c4/per_draw/2,n16_k2_draw2,llama8b,,0.00019998000199980003,,9.825367612898917,9.77073682706178,paired_dlogppl,n16,runs/P30_analysis_attempt1/analysis_draws/P30_FIVE_DRAW_ANALYSIS.json,82ee1420d7a98f797e0ace23fc489e854bb2a6b6cef0d9554022cfcfc0b1a7e4,P30:llama8b:draw2:n16:c4,256,
,,,-0.0012877947726181878,-0.007138229656252262,231,four_over_six,c4,-0.003965387024632542,draw3,-0.003965387024632542,,/models/llama8b/quality/n16_c4/per_draw/3,n16_k2_draw3,llama8b,,0.0017998200179982,,9.825367612898917,9.78648337413465,paired_dlogppl,n16,runs/P30_analysis_attempt1/analysis_draws/P30_FIVE_DRAW_ANALYSIS.json,82ee1420d7a98f797e0ace23fc489e854bb2a6b6cef0d9554022cfcfc0b1a7e4,P30:llama8b:draw3:n16:c4,256,
,,,0.0005100449942976706,-0.005796630734557021,231,four_over_six,c4,-0.0022584998630126563,draw4,-0.0022584998630126563,,/models/llama8b/quality/n16_c4/per_draw/4,n16_k2_draw4,llama8b,,0.1361863813618638,,9.825367612898917,9.803202061360569,paired_dlogppl,n16,runs/P30_analysis_attempt1/analysis_draws/P30_FIVE_DRAW_ANALYSIS.json,82ee1420d7a98f797e0ace23fc489e854bb2a6b6cef0d9554022cfcfc0b1a7e4,P30:llama8b:draw4:n16:c4,256,
,,,-0.003046769167602287,-0.007264406963768373,53,four_over_six,wiki,-0.005197712847595678,seed0,-0.005197712847595678,,/models/llama8b/quality/n16_wiki/per_draw/0,n16_k2,llama8b,,0.00019998000199980003,,6.8754007343996815,6.839757088634219,paired_dlogppl,n16,runs/P30_analysis_attempt1/analysis_draws/P30_FIVE_DRAW_ANALYSIS.json,82ee1420d7a98f797e0ace23fc489e854bb2a6b6cef0d9554022cfcfc0b1a7e4,P30:llama8b:seed0:n16:wiki,141,
,,,0.0017766003978644212,-0.0021472238217107643,53,four_over_six,wiki,-0.00019830587466435268,draw1,-0.00019830587466435268,,/models/llama8b/quality/n16_wiki/per_draw/1,n16_k2_draw1,llama8b,,0.8363163683631637,,6.8754007343996815,6.874037437222765,paired_dlogppl,n16,runs/P30_analysis_attempt1/analysis_draws/P30_FIVE_DRAW_ANALYSIS.json,82ee1420d7a98f797e0ace23fc489e854bb2a6b6cef0d9554022cfcfc0b1a7e4,P30:llama8b:draw1:n16:wiki,141,
,,,-0.002084572911827362,-0.00592156124910049,53,four_over_six,wiki,-0.0039958160737927845,draw2,-0.0039958160737927845,,/models/llama8b/quality/n16_wiki/per_draw/2,n16_k2_draw2,llama8b,,0.00019998000199980003,,6.8754007343996815,6.847982712798029,paired_dlogppl,n16,runs/P30_analysis_attempt1/analysis_draws/P30_FIVE_DRAW_ANALYSIS.json,82ee1420d7a98f797e0ace23fc489e854bb2a6b6cef0d9554022cfcfc0b1a7e4,P30:llama8b:draw2:n16:wiki,141,
,,,-7.742637097782002e-05,-0.003701004664190016,53,four_over_six,wiki,-0.001845955638972626,draw3,-0.001845955638972626,,/models/llama8b/quality/n16_wiki/per_draw/3,n16_k2_draw3,llama8b,,0.040195980401959805,,6.8754007343996815,6.862720756582728,paired_dlogppl,n16,runs/P30_analysis_attempt1/analysis_draws/P30_FIVE_DRAW_ANALYSIS.json,82ee1420d7a98f797e0ace23fc489e854bb2a6b6cef0d9554022cfcfc0b1a7e4,P30:llama8b:draw3:n16:wiki,141,
,,,0.0037459278509146625,3.348560855492394e-05,53,four_over_six,wiki,0.0018869368605356717,draw4,0.0018869368605356717,,/models/llama8b/quality/n16_wiki/per_draw/4,n16_k2_draw4,llama8b,,0.047795220477952205,,6.8754007343996815,6.888386429216469,paired_dlogppl,n16,runs/P30_analysis_attempt1/analysis_draws/P30_FIVE_DRAW_ANALYSIS.json,82ee1420d7a98f797e0ace23fc489e854bb2a6b6cef0d9554022cfcfc0b1a7e4,P30:llama8b:draw4:n16:wiki,141,
