run_id,model,draw,N,policy,corpus,baseline_hash,map_hash,nll,ppl,delta_nll,relative_ppl,ci_low,ci_high,valid_tokens,doc_count,status,bootstrap_repeats,ci_status,source
llama8b/baseline/wiki,llama8b,shared,16,baseline,wiki,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,,1.9279499304938708,6.8754007343996735,0.0,0.0,0.0,0.0,288627,53,validated_reuse,2000,pointwise exploratory; no simultaneous or significance claim,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json
llama8b/seed0/ce_natural/wiki,llama8b,seed0,16,ce_natural,wiki,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,6bfef3f5ea8bd5f81a4a1b6efc52aaf4cdcaa21e9cf4886f50e2c239b6c246f9,1.9222372568744406,6.836235788788159,-0.005712673619430175,-0.005696387327004995,-0.007236157516592285,-0.0042429248042462515,288627,53,validated_reuse,2000,pointwise exploratory; no simultaneous or significance claim,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V42_ppl_controls_llama8b_attempt1/ppl/ppl_report.json
llama8b/seed0/kl_natural/wiki,llama8b,seed0,16,kl_natural,wiki,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,aa26bd08cd8b13e32d050d16d6e3720546ffa84243512f65d4cde5ee1f89831d,1.9491687975357366,7.022847745530643,0.02121886704186582,0.021445587948531936,0.018877277835562423,0.023587065096601526,288627,53,validated_reuse,2000,pointwise exploratory; no simultaneous or significance claim,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V42_ppl_controls_llama8b_attempt1/ppl/ppl_report.json
llama8b/seed0/joint/wiki,llama8b,seed0,16,joint,wiki,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,6d6bacbb67606f69fe33d7ef1d63e71c1596f3aa0c8eaa6b97c01f98c5b85595,1.923260914836621,6.843237338969594,-0.004689015657249662,-0.004678039386003561,-0.006311991017131141,-0.003182653017413834,288627,53,validated_reuse,2000,pointwise exploratory; no simultaneous or significance claim,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json
llama8b/seed0/ce_matched/wiki,llama8b,seed0,16,ce_matched,wiki,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,f1f534b8100d1263b41e0c8696db0d060a05cfe430b7572fd48400f288b5b4f4,1.9220810936984065,6.835168303848352,-0.005868836795464238,-0.005851648813723183,-0.0076658512913739705,-0.004226514562419394,288627,53,validated_reuse,2000,pointwise exploratory; no simultaneous or significance claim,research_runs/mixfp4_n16k64_followup_20260917T090438Z/runs/F21_full_llama8b_attempt2/ppl/ppl_report.json
llama8b/seed0/kl_matched/wiki,llama8b,seed0,16,kl_matched,wiki,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,f0287d19a5600c21295d1936215a9be8205bda7e3b070840528af44141102e01,1.9214293454335043,6.830714946157718,-0.006520585060366457,-0.006499372177446918,-0.008220186163708443,-0.004757926999325708,288627,53,validated_reuse,2000,pointwise exploratory; no simultaneous or significance claim,research_runs/mixfp4_n16k64_followup_20260917T090438Z/runs/F21_full_llama8b_attempt2/ppl/ppl_report.json
llama8b/draw1/ce_natural/wiki,llama8b,draw1,16,ce_natural,wiki,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,90f4ba1bff3f7dbbb201868030baea7dfae0cef267ed40c4e6e99d10deccd661,1.921741581583281,6.832848075295413,-0.006208348910589745,-0.006189116932683923,-0.007976510783318774,-0.004499468104247117,288627,53,validated_new,2000,pointwise exploratory; no simultaneous or significance claim,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/t2_llama_draw1_attempt1/ppl/ppl_report.json
llama8b/draw1/kl_natural/wiki,llama8b,draw1,16,kl_natural,wiki,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,640264a1b6ab48da7fcf8fa82dcfe2ddc0630cf3afc5e23c4e548bcb9e69ec4d,1.9364370003073992,6.934001061211112,0.008487069813528425,0.008523187094861787,0.0062822852285637385,0.010692229926687754,288627,53,validated_new,2000,pointwise exploratory; no simultaneous or significance claim,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/t2_llama_draw1_attempt1/ppl/ppl_report.json
llama8b/draw1/joint/wiki,llama8b,draw1,16,joint,wiki,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,e42a0d9861e7f6d7d20ed28f931b8cb22d64b13a0c2b4fe397f916485123ef08,1.9226797548380514,6.839261478584877,-0.005270175655819331,-0.005256312644291536,-0.0066560260111443005,-0.0038409332468630625,288627,53,validated_reuse,2000,pointwise exploratory; no simultaneous or significance claim,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V50_ppl_draws_llama8b_attempt1/ppl/ppl_report.json
llama8b/draw1/ce_matched/wiki,llama8b,draw1,16,ce_matched,wiki,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,d15ef626a9d3c02b2dba32085615bdb7e62a067781bb83193581cac2fc998898,1.9226714712661892,6.839204825305581,-0.005278459227681553,-0.0052645526409818896,-0.007068074008487374,-0.003697590065983253,288627,53,validated_new,2000,pointwise exploratory; no simultaneous or significance claim,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/t2_llama_draw1_attempt1/ppl/ppl_report.json
